scope,feature,fold_count,mean_standardized_coefficient,sign,mean_absolute_magnitude,positive_fold_fraction,negative_fold_fraction
aggregate,sma20_ratio_lag_25,17,0.001581348978456671,positive,0.002336735896145111,0.9411764705882353,0.058823529411764705
aggregate,mom24_lag_25,17,-0.00016111808166809088,negative,0.00023057980314762465,0.35294117647058826,0.6470588235294118
aggregate,xz_mom24_lag_25,17,0.0003429026289476819,positive,0.0003429026289476819,1.0,0.0
aggregate,xr_mom24_lag_25,17,-0.00013411873759153835,negative,0.00013411873759153835,0.0,1.0
aggregate,carry_annual_lag_25,17,-0.0010632413409932704,negative,0.0011520000006714525,0.058823529411764705,0.9411764705882353
aggregate,xz_carry_lag_25,17,-0.002912915179130913,negative,0.002912915179130913,0.0,1.0
aggregate,log_return_lag_24,17,-0.0012175014802733655,negative,0.0012175014802733655,0.0,1.0
aggregate,volatility_lag_24,17,-0.0006339669735906644,negative,0.000666463164280469,0.058823529411764705,0.9411764705882353
aggregate,sma20_ratio_lag_24,17,0.0068044444027214055,positive,0.0068044444027214055,1.0,0.0
aggregate,mom24_lag_24,17,0.0005002395500314679,positive,0.0005566009846458516,0.9411764705882353,0.058823529411764705
aggregate,xz_mom24_lag_24,17,-0.0003192123444258248,negative,0.0003192123444258248,0.0,1.0
aggregate,xr_mom24_lag_24,17,0.00013470826382017977,positive,0.00013470826382017977,1.0,0.0
aggregate,carry_annual_lag_24,17,-0.002595118912338144,negative,0.002595118912338144,0.0,1.0
aggregate,xz_carry_lag_24,17,0.002169720888918406,positive,0.002379069530101013,0.5882352941176471,0.4117647058823529
aggregate,log_return_lag_23,17,0.0015007348837740113,positive,0.0015007348837740113,1.0,0.0
aggregate,volatility_lag_23,17,-0.00015270325832616614,negative,0.00022366294828080895,0.35294117647058826,0.6470588235294118
aggregate,sma20_ratio_lag_23,17,-0.0035718005970107676,negative,0.0035718005970107676,0.0,1.0
aggregate,mom24_lag_23,17,-3.567342007610084e-05,negative,0.0001424031138429268,0.23529411764705882,0.7647058823529411
aggregate,xz_mom24_lag_23,17,-0.00010340601921164862,negative,0.00015095238930274576,0.23529411764705882,0.7647058823529411
aggregate,xr_mom24_lag_23,17,3.6947409484628447e-05,positive,7.107672093507399e-05,0.7058823529411765,0.29411764705882354
